City,Location,Rank,Index,Stability,Healthcare,Culture_Environment,Education,Infrastructure
Vienna,Austria,1.0,98.4,100.0,100.0,93.5,100.0,100.0
Copenhagen,Denmark,2.0,98.0,100.0,95.8,95.4,100.0,100.0
Melbourne,Australia,3.0,97.7,95.0,100.0,95.8,100.0,100.0
Sydney,Australia,4.0,97.4,95.0,100.0,94.4,100.0,100.0
Vancouver,Canada,5.0,97.3,95.0,100.0,97.2,100.0,96.4
Zurich,Switzerland,6.0,97.1,95.0,100.0,96.3,100.0,96.4
Calgary,Canada,7.0,96.8,100.0,100.0,87.3,100.0,100.0
Geneva,Switzerland,7.0,96.8,95.0,100.0,94.9,100.0,96.4
Toronto,Canada,9.0,96.5,100.0,100.0,94.4,100.0,89.3
Osaka,Japan,10.0,96.0,100.0,100.0,86.8,100.0,96.4
Auckland,New Zealand,10.0,96.0,95.0,95.8,97.9,100.0,92.9
Douala,Cameroon,164.0,46.4,60.0,29.2,51.2,41.7,42.9
Kyiv,Ukraine,165.0,44.0,40.0,41.7,54.2,75.0,23.2
Harare,Zimbabwe,166.0,43.8,40.0,29.2,56.7,66.7,35.7
Dhaka,Bangladesh,166.0,43.8,50.0,41.7,40.5,75.0,26.8
Port Moresby,Papua New Guinea,168.0,43.4,30.0,41.7,49.8,58.3,46.4
Karachi,Pakistan,169.0,42.5,20.0,50.0,38.7,75.0,51.8
Lagos,Nigeria,170.0,42.2,25.0,37.5,54.4,41.7,53.6
Algiers,Algeria,171.0,42.0,35.0,50.0,45.4,58.3,30.4
Tripoli,Libya,172.0,40.1,30.0,45.8,37.5,58.3,41.1
Damascus,Syria,173.0,30.7,20.0,29.2,40.5,33.3,32.1
